scan,ctemp,angle,intensity,shift,fitted_center,fitted_sigma,is_shifted,is_changing,status
30,680.2356,17.29092,417.55123999999995,-0.03277999999999892,17.30179238519778,0.13043400542154415,True,True,stable
30,680.2356,24.86257,355.2978,0.0,24.89887584720378,0.17188929206837442,False,True,stable
30,680.2356,16.56981,241.72132000000002,0.0,16.56687026879021,0.1635784289691317,False,False,stable
31,685.1684,22.10925,506.7251,0.0,22.122125846021444,0.11294040031427506,False,True,stable
31,685.1684,17.29092,423.52326000000005,0.0,17.300640220741514,0.1286693554105223,False,True,stable
31,685.1684,24.86257,355.98528,0.0,24.897204216958688,0.17261636556635515,False,False,stable
31,685.1684,16.56981,240.83408,0.0,16.565687462743934,0.16319922690610036,False,False,stable
32,691.77441,22.10925,513.0761200000001,0.0,22.121139975676968,0.11159814233740169,False,True,stable
32,691.77441,17.29092,426.52636,0.0,17.29929549758509,0.12742630798973756,False,True,stable
32,691.77441,24.86257,360.76874,0.0,24.894195863119442,0.17023061456367755,False,True,stable
32,691.77441,16.56981,241.44307999999995,0.0,16.56485027994215,0.16247321360728875,False,False,stable
33,697.44678,22.10925,518.20452,0.0,22.12024533588348,0.11028658164573449,False,True,stable
33,697.44678,17.29092,429.55976,0.0,17.297975837367353,0.1254345419138722,False,True,stable
33,697.44678,24.86257,361.0434,0.0,24.89201577210085,0.17018139462368928,False,False,stable
33,697.44678,16.56981,241.41702,0.0,16.56302500275666,0.16114056750434286,False,False,stable
34,703.43323,22.10925,521.99352,0.0,22.119228575358946,0.10929331017718968,False,True,stable
34,703.43323,17.29092,434.75721999999996,0.0,17.297298121799844,0.12380405501591711,False,True,stable
34,703.43323,24.86257,365.4255,0.0,24.889876553008786,0.16835708620135853,False,True,stable
34,703.43323,16.56981,240.56186000000002,0.0,16.56265445960684,0.1602018104258334,False,False,stable
35,710.38812,22.10925,527.4010999999999,0.0,22.118211697019017,0.108242073969564,False,True,stable
35,710.38812,17.29092,436.11214,0.0,17.29593445427431,0.12236664550960441,False,False,stable
35,710.38812,24.86257,367.77772,0.0,24.886287485030433,0.16676507240802269,False,True,stable
35,710.38812,16.56981,242.11602,0.0,16.561800133073053,0.15822104385024796,False,False,stable
36,716.30212,22.10925,534.34836,0.0,22.117543790252014,0.10673342125085597,False,True,stable
36,716.30212,17.29092,441.6112,0.0,17.2948533109736,0.1204931268014675,False,True,stable
36,716.30212,24.86257,369.909,0.0,24.884658257838073,0.16682247624183938,False,False,stable
36,716.30212,16.56981,241.21484,0.0,16.560500954549568,0.1577298224596599,False,False,stable
37,722.32489,22.10925,541.93624,0.0,22.11670102982243,0.1055214846392986,False,True,stable
37,722.32489,17.29092,448.75432,0.0,17.293233202025448,0.11874161391740928,False,True,stable
37,722.32489,24.86257,373.23006000000004,0.0,24.88305194352209,0.166726276375461,False,True,stable
37,722.32489,16.56981,242.02086,0.0,16.55886761770068,0.15601205972803947,False,False,stable
38,728.26678,22.10925,551.26102,0.0,22.115984202098694,0.10414423102723169,False,True,stable
38,728.26678,17.29092,453.74256,0.0,17.292375228243284,0.11725927126273371,False,True,stable
38,728.26678,24.8298,381.21493999999996,-0.03277000000000285,24.869148755346696,0.14773792813568898,True,True,stable
38,728.26678,16.56981,243.60962,0.0,16.558256950674846,0.15597452214927582,False,False,stable
39,734.39148,22.10925,556.16628,0.0,22.114805597154966,0.10303399433981486,False,True,stable
39,734.39148,17.29092,456.6581,0.0,17.291162286250216,0.1157102396202448,False,True,stable
39,734.39148,24.8298,384.62816,0.0,24.86728960049527,0.1472262077105189,False,True,stable
39,734.39148,16.53704,245.42258,-0.0327699999999993,16.549736081743873,0.15127428768886783,True,False,stable
40,740.45502,22.10925,561.33416,0.0,22.1137596032997,0.10170543495310827,False,True,stable
40,740.45502,17.29092,463.32882,0.0,17.289760730006993,0.11367494195989163,False,True,stable
40,740.45502,24.8298,389.24012,0.0,24.864541930332546,0.14584504684229097,False,True,stable
40,740.45502,16.53704,246.41816,0.0,16.54872762483824,0.15008324599019282,False,False,stable
41,750.77979,22.10925,571.01918,0.0,22.1121436119137,0.09937858018471347,False,True,stable
41,750.77979,17.29092,467.3486,0.0,17.28776840721787,0.11087007842077502,False,True,stable
41,750.77979,24.8298,394.46016000000003,0.0,24.862301383548193,0.1448508214777289,False,True,stable
41,750.77979,16.53704,249.04299999999998,0.0,16.546814549681923,0.14601498802587792,False,False,stable
