scan,ctemp,angle,intensity,shift,fitted_center,fitted_sigma,is_shifted
75,819.98328,16.4881,553.3493599999999,0.0,16.45225712349367,0.17319414837981895,False
75,819.98328,20.36112,284.08065999999997,0.0,20.31455348727534,0.1919065329614128,False
76,819.95947,28.88886,1005.6713200000002,0.0,28.87409248332994,0.084660565671399,False
76,819.95947,16.4881,553.05598,0.0,16.4529263821292,0.17276476141093128,False
76,819.95947,20.36112,284.04928,0.0,20.31487002963023,0.1916905537912249,False
77,819.98901,28.88886,1008.8512799999999,0.0,28.873921545134884,0.08462539482693861,False
77,819.98901,16.4881,552.85712,0.0,16.452304515378255,0.1730564221342839,False
77,819.98901,20.36112,282.79319999999996,0.0,20.31520946623843,0.19255081550172,False
78,819.98358,28.88886,1017.2412599999998,0.0,28.87420831461162,0.08449649862454822,False
78,819.98358,16.4881,557.83722,0.0,16.451897181813983,0.17306778504989878,False
78,819.98358,20.36112,286.34442,0.0,20.31534979384286,0.19171457279910425,False
79,819.97699,28.88886,1023.17464,0.0,28.874438226509504,0.08453532834821173,False
79,819.97699,16.4881,556.95298,0.0,16.45198180185242,0.1730075676074456,False
79,819.97699,20.36112,285.82172,0.0,20.315007519575435,0.19117927201853313,False
80,819.98932,28.88886,1018.7536000000002,0.0,28.87449476662614,0.08419111260726421,False
80,819.98932,16.4881,556.2384000000001,0.0,16.45199095243943,0.17305508305082343,False
80,819.98932,20.36112,286.39892,0.0,20.315080232298932,0.19069261048657804,False
81,820.01178,28.88886,1018.3319600000001,0.0,28.874341116671093,0.08427240052963411,False
81,820.01178,16.4881,556.20766,0.0,16.45233278029106,0.1731276090791869,False
81,820.01178,20.36112,285.84427999999997,0.0,20.31561387269006,0.1905987259338555,False
82,819.97089,28.88886,1014.09806,0.0,28.87445114976443,0.08412541345413711,False
82,819.97089,16.4881,555.4241199999999,0.0,16.45246994207982,0.17270350025989734,False
82,819.97089,20.36112,286.41040000000004,0.0,20.316741114459706,0.18979992799038387,False
83,820.02942,28.88886,1016.8212800000001,0.0,28.874536825413585,0.08412658636998675,False
83,820.02942,16.4881,555.3244000000001,0.0,16.452436021641756,0.1727373675666439,False
83,820.02942,20.36112,285.79173999999995,0.0,20.31700135572686,0.18995227042562876,False
84,819.96948,28.88886,1015.16782,0.0,28.874892021886975,0.08401710619127192,False
84,819.96948,16.4881,553.3813,0.0,16.452150841392896,0.17285635039673392,False
84,819.96948,20.36112,286.02576,0.0,20.317071704096527,0.19017335431517193,False
85,819.99738,28.88886,1017.4130000000001,0.0,28.87466120775565,0.08408564879527293,False
85,819.99738,16.4881,552.80708,0.0,16.452181929528578,0.17298053935314459,False
85,819.99738,20.36112,284.8594,0.0,20.317286047341867,0.19010932047987505,False
86,819.97827,28.88886,1026.7018,0.0,28.874506337367418,0.08390079393799015,False
86,819.97827,16.4881,554.66686,0.0,16.452397190804245,0.17266023210972917,False
86,819.97827,20.36112,285.3496,0.0,20.31709331847452,0.1903236064628654,False
87,819.98053,28.88886,1031.50722,0.0,28.874451412095766,0.08385101790038409,False
87,819.98053,16.4881,558.5918,0.0,16.45235192392379,0.17287841828782957,False
87,819.98053,20.36112,287.93548,0.0,20.317832720360688,0.18945916714207903,False
88,819.98578,28.88886,1033.8806200000001,0.0,28.874810067725257,0.08377335163987369,False
88,819.98578,16.4881,558.70772,0.0,16.452001836363166,0.1724946762357659,False
88,819.98578,20.36112,286.68006,0.0,20.31647705728958,0.1911542997884542,False
89,820.00519,28.88886,1026.3443599999998,0.0,28.874391177062645,0.0837610144918468,False
89,820.00519,16.4881,558.45866,0.0,16.45271408801839,0.17253889222449134,False
89,820.00519,20.36112,286.52454,0.0,20.316574357081176,0.19034106594083045,False
90,820.00262,28.88886,1025.24918,0.0,28.874499946738897,0.08383119273854767,False
90,820.00262,16.4881,557.95796,0.0,16.45299708919334,0.1718035206249128,False
90,820.00262,20.36112,286.20176000000004,0.0,20.317036426312157,0.1895469462066484,False
91,819.97968,28.88886,1030.88432,0.0,28.875009013834333,0.08362186805310647,False
91,819.97968,16.4881,556.99854,0.0,16.453095795578378,0.17168821432816575,False
91,819.97968,20.36112,285.40442,0.0,20.317127989241378,0.1904698584362919,False
92,819.96832,28.88886,1023.23434,0.0,28.874478779427555,0.08364889483567833,False
92,819.96832,16.4881,556.13404,0.0,16.45265611557165,0.172339574162329,False
92,819.96832,20.36112,284.76135999999997,0.0,20.317256183663282,0.19002758363492142,False
93,819.97009,28.88886,1020.2503199999999,0.0,28.874689115954048,0.08368980254257774,False
93,819.97009,16.4881,554.48172,0.0,16.45299000588075,0.1719756292943926,False
93,819.97009,20.36112,284.10749999999996,0.0,20.31643394987553,0.19021122353894,False
94,819.99451,28.88886,1019.26852,0.0,28.874986658548575,0.08358645387801568,False
94,819.99451,16.4881,555.68076,0.0,16.453077650656876,0.171742871096901,False
94,819.99451,20.36112,283.76794,0.0,20.31558002348954,0.1912871802473837,False
95,820.02991,28.88886,1031.9191,0.0,28.874992941441956,0.08358392720230523,False
95,820.02991,16.4881,561.7888800000001,0.0,16.452720970376774,0.17193565408271977,False
95,820.02991,20.36112,286.48614000000003,0.0,20.31624529510848,0.19073472470610414,False
96,819.99377,28.88886,1021.4749199999999,0.0,28.875074459413504,0.08359870170022246,False
96,819.99377,16.4881,560.71246,0.0,16.453122696002314,0.17179571649211284,False
96,819.99377,20.36112,286.64792,0.0,20.31658639172235,0.19009712901880074,False
97,820.0271,28.88886,1024.14382,0.0,28.874951994963496,0.08350971870699635,False
97,820.0271,16.4881,561.27144,0.0,16.452642704817052,0.1720378632859271,False
97,820.0271,20.36112,286.46038,0.0,20.3169643899318,0.18992951477373024,False
98,820.02039,28.88886,1022.44758,0.0,28.875025012479878,0.08362272551651452,False
98,820.02039,16.4881,559.42328,0.0,16.452699783120753,0.17183055204294187,False
98,820.02039,20.36112,285.00448,0.0,20.315292129935905,0.1913469717542407,False
99,820.00562,28.88886,1021.58312,0.0,28.875161552648297,0.08345277096942016,False
