radians	I
8.696504	81.976620
8.706852	82.896390
8.717200	83.703130
8.727548	84.783360
8.737896	86.022140
8.748244	87.225420
8.758593	88.597560
8.768941	90.140370
8.779289	91.708320
8.789637	93.594210
8.799985	95.871250
8.810333	98.359040
8.820681	101.552300
8.831029	104.805400
8.841377	108.494300
8.851725	113.052700
8.862073	117.849100
8.872421	124.271800
8.882769	131.866400
8.893117	140.395000
8.903465	152.098900
8.913813	165.130700
8.924161	182.410800
8.934509	205.430300
8.944857	234.920700
8.955206	281.456500
8.965554	345.043900
8.975902	441.076100
8.986250	592.079200
8.996598	787.387600
9.006946	1086.917000
9.017294	1449.412000
9.027642	1853.899000
9.037990	2360.279000
9.048338	2790.911000
9.058686	3162.132000
9.069034	3415.396000
9.079382	3480.108000
9.089730	3343.928000
9.100078	3047.499000
9.110426	2637.702000
9.120774	2129.493000
9.131122	1684.939000
9.141471	1270.864000
9.151819	936.191800
9.162167	705.067000
9.172515	518.454600
9.182863	399.924800
9.193211	317.583200
9.203559	259.077200
9.213907	221.110900
9.224255	191.747400
9.234603	170.932200
9.244951	155.563600
9.255299	142.808500
9.265647	133.329400
9.275995	125.323400
9.286343	118.476000
9.296691	113.088400
9.307039	108.021100
9.317387	104.015000
9.327736	100.437300
9.338084	97.211090
9.348432	94.558660
9.358780	92.146450
9.369128	90.282490
9.379476	88.608790
9.389824	87.192090
9.400172	85.925070
9.410520	84.565350
9.420868	83.226220
9.431216	82.133420
9.441564	81.109260
9.451912	80.324580
9.462260	79.748690
9.472608	79.086360
9.482956	78.316600
9.493304	77.481120
9.503652	76.932270
9.514001	76.545090
9.524349	76.213450
9.534697	75.969150
9.545045	75.545220
9.555393	75.139080
9.565741	74.755810
9.576089	74.293380
9.586437	74.154780
9.596785	73.925260
9.607133	73.657580
9.617481	73.320010
9.627829	73.090800
9.638177	72.883870
9.648525	72.690570
9.658873	72.508330
9.669221	72.579800
9.679569	72.605190
9.689917	72.629170
9.700265	72.474040
9.710614	72.302180
9.720962	72.251230
9.731310	72.295880
9.741658	72.254170
9.752006	71.968210
9.762354	71.700470
9.772702	71.456680
9.783050	71.349850
9.793398	71.308360
9.803746	71.279310
9.814094	71.369060
9.824442	71.417420
9.834790	71.306350
9.845138	71.204150
9.855486	71.158290
9.865834	71.163690
9.876182	71.020160
9.886530	70.824410
9.896879	70.579150
9.907227	70.676740
9.917575	70.579310
9.927923	70.511300
9.938271	70.540520
9.948619	70.629070
9.958967	70.647010
9.969315	70.643050
9.979663	70.550240
9.990011	70.387610
10.000360	70.362370
10.010710	70.356170
10.021060	70.254720
10.031400	70.472060
10.041750	70.471090
10.052100	70.754260
10.062450	70.817080
10.072800	71.061580
10.083140	71.281720
10.093490	71.432430
10.103840	71.578270
10.114190	71.719850
10.124540	71.788480
10.134880	71.938150
10.145230	72.157730
10.155580	72.312850
10.165930	72.515720
10.176280	72.854940
10.186620	73.093190
10.196970	73.392970
10.207320	73.541560
10.217670	73.613510
10.228020	73.756480
10.238360	73.679620
10.248710	73.696110
10.259060	73.440500
10.269410	73.208990
10.279760	73.202260
10.290100	73.159240
10.300450	73.357680
10.310800	73.252190
10.321150	73.213980
10.331500	73.095520
10.341840	72.979800
10.352190	72.888660
10.362540	72.733900
10.372890	72.699410
10.383240	72.662760
10.393590	72.716150
10.403930	72.730840
10.414280	72.883310
10.424630	73.175900
10.434980	73.337810
10.445330	73.583390
10.455670	73.828800
10.466020	74.149830
10.476370	74.378660
10.486720	74.588860
10.497070	74.930850
10.507410	74.958430
10.517760	75.114050
10.528110	75.189620
10.538460	75.412260
10.548810	75.542880
10.559150	75.814710
10.569500	76.102930
10.579850	76.288350
10.590200	76.252620
10.600550	76.185560
10.610890	76.105290
10.621240	76.122900
10.631590	76.148850
10.641940	76.160170
10.652290	76.260320
10.662630	76.448950
10.672980	76.661180
10.683330	76.916040
10.693680	77.029210
10.704030	77.164250
10.714370	77.193440
10.724720	77.327500
10.735070	77.455120
10.745420	77.594280
10.755770	77.817680
10.766120	77.910510
10.776460	77.990980
10.786810	78.115020
10.797160	78.189030
10.807510	78.249870
10.817860	78.156440
10.828200	78.096140
10.838550	78.228220
10.848900	78.586300
10.859250	78.837760
10.869600	78.965470
10.879940	79.149220
10.890290	79.217820
10.900640	79.350770
10.910990	79.463430
10.921340	79.803960
10.931680	80.101490
10.942030	80.385840
10.952380	80.508410
10.962730	80.873030
10.973080	81.032660
10.983420	81.256950
10.993770	81.356060
11.004120	81.359100
11.014470	81.296820
11.024820	81.217710
11.035160	81.359360
11.045510	81.507520
11.055860	81.741080
11.066210	81.955610
11.076560	82.183330
11.086900	82.416710
11.097250	82.695710
11.107600	82.748530
11.117950	82.915480
11.128300	82.948170
11.138650	83.115450
11.148990	83.213360
11.159340	83.363010
11.169690	83.657230
11.180040	83.983900
11.190390	84.255750
11.200730	84.352690
11.211080	84.340500
11.221430	84.492740
11.231780	84.455440
11.242130	84.658630
11.252470	84.738480
11.262820	84.960530
11.273170	85.182420
11.283520	85.316240
11.293870	85.618260
11.304210	85.841350
11.314560	85.983620
11.324910	86.296940
11.335260	86.520540
11.345610	86.713410
11.355950	87.016190
11.366300	87.328890
11.376650	87.541760
11.387000	87.955050
11.397350	88.213820
11.407690	88.738950
11.418040	89.146140
11.428390	89.662810
11.438740	89.985830
11.449090	90.209080
11.459430	90.294260
11.469780	90.441570
11.480130	90.284390
11.490480	90.228180
11.500830	90.228840
11.511180	90.310040
11.521520	90.369320
11.531870	90.343490
11.542220	90.343210
11.552570	90.293600
11.562920	90.203060
11.573260	90.267760
11.583610	90.525550
11.593960	90.922150
11.604310	91.078920
11.614660	91.328620
11.625000	91.609660
11.635350	91.840660
11.645700	91.935550
11.656050	91.962100
11.666400	91.991500
11.676740	92.057510
11.687090	92.100720
11.697440	92.212430
11.707790	92.281850
11.718140	92.611980
11.728480	92.883910
11.738830	93.284670
11.749180	93.607720
11.759530	93.845610
11.769880	93.984970
11.780220	94.041390
11.790570	94.149590
11.800920	94.342380
11.811270	94.561880
11.821620	94.891310
11.831960	95.160200
11.842310	95.562790
11.852660	95.841580
11.863010	96.041250
11.873360	95.962860
11.883710	95.931810
11.894050	96.046330
11.904400	96.390460
11.914750	96.716790
11.925100	97.044190
11.935450	97.273250
11.945790	97.657040
11.956140	97.888320
11.966490	98.299890
11.976840	98.754330
11.987190	99.150210
11.997530	99.572120
12.007880	99.677240
12.018230	99.732110
12.028580	99.633530
12.038930	99.705470
12.049270	99.929680
12.059620	100.249200
12.069970	100.466800
12.080320	100.754400
12.090670	100.845000
12.101010	101.033600
12.111360	101.121600
12.121710	101.521400
12.132060	101.866000
12.142410	102.177600
12.152750	102.521900
12.163100	102.713400
12.173450	102.977200
12.183800	103.217900
12.194150	103.447300
12.204490	103.744100
12.214840	104.051800
12.225190	104.267100
12.235540	104.407100
12.245890	104.553100
12.256230	104.747600
12.266580	105.057700
12.276930	105.308800
12.287280	105.728400
12.297630	105.901400
12.307980	106.092500
12.318320	106.196100
12.328670	106.527000
12.339020	106.767000
12.349370	107.185800
12.359720	107.315600
12.370060	107.716000
12.380410	107.975200
12.390760	108.047400
12.401110	108.238100
12.411460	108.529300
12.421800	108.960300
12.432150	109.341500
12.442500	109.769500
12.452850	110.152900
12.463200	110.485700
12.473540	110.849700
12.483890	111.155800
12.494240	111.560600
12.504590	111.973600
12.514940	112.338000
12.525280	112.525900
12.535630	112.864900
12.545980	113.262000
12.556330	113.882300
12.566680	114.671600
12.577020	115.391500
12.587370	116.165300
12.597720	117.194800
12.608070	118.402900
12.618420	119.687100
12.628760	121.317300
12.639110	123.220400
12.649460	125.839200
12.659810	129.521800
12.670160	134.360100
12.680510	141.088800
12.690850	149.142700
12.701200	159.875700
12.711550	172.938000
12.721900	188.283700
12.732250	206.399800
12.742590	225.659900
12.752940	245.917400
12.763290	266.291300
12.773640	285.076500
12.783990	302.684900
12.794330	316.815800
12.804680	328.043500
12.815030	334.828100
12.825380	337.107500
12.835730	334.323300
12.846070	326.625000
12.856420	315.146200
12.866770	299.616000
12.877120	282.665700
12.887470	264.005500
12.897810	245.005400
12.908160	227.071700
12.918510	209.456800
12.928860	194.033000
12.939210	180.222500
12.949550	168.620600
12.959900	159.046600
12.970250	151.150300
12.980600	145.206700
12.990950	140.609600
13.001290	137.294700
13.011640	134.879200
13.021990	133.287600
13.032340	132.128600
13.042690	131.019500
13.053040	130.013600
13.063380	129.113700
13.073730	128.612400
13.084080	128.325500
13.094430	128.393800
13.104780	128.419400
13.115120	128.393400
13.125470	128.457300
13.135820	128.413700
13.146170	128.701400
13.156520	128.891400
13.166860	129.146500
13.177210	129.159900
13.187560	129.349500
13.197910	129.538600
13.208260	129.833200
13.218600	130.185900
13.228950	130.458600
13.239300	130.799000
13.249650	130.772200
13.260000	130.811700
13.270340	130.814200
13.280690	130.773400
13.291040	130.871300
13.301390	131.208000
13.311740	131.585700
13.322080	131.861900
13.332430	132.182400
13.342780	132.517500
13.353130	132.964400
13.363480	133.071100
13.373820	133.277800
13.384170	133.419300
13.394520	133.528300
13.404870	133.755200
13.415220	134.351200
13.425570	134.693100
13.435910	135.194900
13.446260	135.744600
13.456610	136.353100
13.466960	136.996700
13.477310	137.631700
13.487650	138.550500
13.498000	139.572000
13.508350	140.819800
13.518700	141.920900
13.529050	143.115200
13.539390	144.304500
13.549740	145.442600
13.560090	146.412400
13.570440	147.061500
13.580790	147.445700
13.591130	147.697500
13.601480	147.879300
13.611830	148.014500
13.622180	148.041000
13.632530	147.950800
13.642870	147.458700
13.653220	146.988900
13.663570	146.427000
13.673920	146.023500
13.684270	145.664600
13.694610	145.289700
13.704960	144.822300
13.715310	144.224700
13.725660	143.688400
13.736010	143.410300
13.746350	143.203600
13.756700	143.135900
13.767050	143.061200
13.777400	142.976100
13.787750	142.928900
13.798100	142.889100
13.808440	143.025500
13.818790	143.345100
13.829140	143.683100
13.839490	143.877600
13.849840	144.212900
13.860180	144.125000
13.870530	144.387100
13.880880	144.476400
13.891230	144.866400
13.901580	145.364100
13.911920	145.562700
13.922270	145.766700
13.932620	146.010300
13.942970	146.514600
13.953320	147.158400
13.963660	147.777000
13.974010	148.569900
13.984360	149.321700
13.994710	150.113800
14.005060	150.619800
14.015400	151.150700
14.025750	151.444500
14.036100	151.740800
14.046450	152.082800
14.056800	152.353400
14.067140	152.575500
14.077490	152.743400
14.087840	152.595700
14.098190	152.400700
14.108540	151.919400
14.118880	151.686000
14.129230	151.591900
14.139580	151.664300
14.149930	151.854900
14.160280	151.984900
14.170630	152.280700
14.180970	152.520000
14.191320	152.636500
14.201670	152.781400
14.212020	152.945200
14.222370	153.135200
14.232710	153.347800
14.243060	153.463000
14.253410	153.698900
14.263760	153.754400
14.274110	153.930600
14.284450	154.066600
14.294800	154.272600
14.305150	154.540100
14.315500	155.057900
14.325850	155.633300
14.336190	156.297200
14.346540	156.825900
14.356890	157.554600
14.367240	158.278500
14.377590	159.291200
14.387930	160.206300
14.398280	161.522500
14.408630	162.294000
14.418980	163.250100
14.429330	163.933500
14.439670	164.463000
14.450020	165.187300
14.460370	165.685100
14.470720	166.459400
14.481070	167.149200
14.491410	167.807900
14.501760	168.120500
14.512110	168.417400
14.522460	168.849600
14.532810	169.387500
14.543160	170.134100
14.553500	170.788400
14.563850	171.201900
14.574200	171.540700
14.584550	171.652900
14.594900	171.919800
14.605240	172.149200
14.615590	172.385000
14.625940	172.739300
14.636290	172.869500
14.646640	173.276900
14.656980	173.074900
14.667330	173.067500
14.677680	173.022400
14.688030	172.967500
14.698380	172.844300
14.708720	172.711700
14.719070	172.550900
14.729420	172.304400
14.739770	171.902500
14.750120	171.612100
14.760460	171.484000
14.770810	171.485500
14.781160	171.678000
14.791510	171.552800
14.801860	171.706300
14.812200	171.699300
14.822550	171.697300
14.832900	171.976200
14.843250	172.029300
14.853600	172.163600
14.863940	171.999700
14.874290	171.979000
14.884640	171.808800
14.894990	171.732300
14.905340	171.838200
14.915690	171.749300
14.926030	172.094100
14.936380	172.127000
14.946730	172.205100
14.957080	172.110700
14.967430	172.048100
14.977770	172.023300
14.988120	171.725600
14.998470	171.534700
15.008820	171.461200
15.019170	171.592100
15.029510	171.909500
15.039860	172.508100
15.050210	172.784700
15.060560	173.193300
15.070910	173.341100
15.081250	173.617700
15.091600	173.961900
15.101950	174.100900
15.112300	174.303700
15.122650	174.355800
15.132990	174.484200
15.143340	174.672800
15.153690	175.004800
15.164040	175.540800
15.174390	175.803600
15.184730	176.154700
15.195080	176.237700
15.205430	176.305400
15.215780	176.433900
15.226130	176.462100
15.236470	176.495500
15.246820	176.569500
15.257170	176.671100
15.267520	176.583300
15.277870	176.540900
15.288220	176.302800
15.298560	176.414200
15.308910	176.471300
15.319260	176.995800
15.329610	177.495000
15.339960	177.931700
15.350300	178.176800
15.360650	178.476700
15.371000	178.749000
15.381350	179.239900
15.391700	179.788600
15.402040	180.494000
15.412390	181.208600
15.422740	182.156300
15.433090	183.433100
15.443440	185.052700
15.453780	187.182800
15.464130	189.444100
15.474480	192.163800
15.484830	195.569500
15.495180	199.881300
15.505520	206.071100
15.515870	213.811000
15.526220	223.591800
15.536570	236.187600
15.546920	250.823900
15.557260	269.096200
15.567610	289.352000
15.577960	312.451800
15.588310	338.245600
15.598660	365.059400
15.609000	394.189000
15.619350	423.306400
15.629700	451.031900
15.640050	477.036700
15.650400	499.899000
15.660740	519.625200
15.671090	535.476400
15.681440	547.960600
15.691790	556.418300
15.702140	560.953600
15.712490	561.291100
15.722830	557.608100
15.733180	549.154200
15.743530	535.840800
15.753880	517.917500
15.764230	495.219100
15.774570	470.127000
15.784920	442.699100
15.795270	414.498200
15.805620	387.196000
15.815970	360.422100
15.826310	336.321700
15.836660	314.437600
15.847010	294.948300
15.857360	277.934200
15.867710	263.045600
15.878050	250.515900
15.888400	239.478900
15.898750	230.470200
15.909100	223.163800
15.919450	217.051700
15.929790	212.317400
15.940140	208.453600
15.950490	205.493500
15.960840	203.139700
15.971190	201.210400
15.981530	199.938000
15.991880	199.078700
16.002230	198.558600
16.012580	198.259100
16.022930	197.931800
16.033270	197.566600
16.043620	197.141800
16.053970	196.896900
16.064320	196.958500
16.074670	196.827700
16.085020	196.725700
